,d2v_DBOW,d2v_DM,tfidf_1g,tfidf_1g2g,tfidf_1g2g3g,tfidf_2g,tfidf_3g,w2v_CBOW,w2v_SG
SVC_lin-L1-0.3,[0.7156   0.71615  0.710775 0.7133  ],[0.70405  0.707025 0.7021   0.703   ],[0.764325 0.7679   0.764675 0.76145 ],[0.765575 0.7688   0.766725 0.762975],[0.765375 0.76915  0.76635  0.7628  ],[0.63285 0.63245 0.6303  0.6278 ],[0.5384  0.5361  0.53805 0.5369 ],[0.735275 0.73935  0.73105  0.73365 ],[0.7298   0.734775 0.72905  0.7308  ]
SVC_lin-L1-0.6,[0.715475 0.71625  0.7108   0.7132  ],[0.7042   0.7068   0.702025 0.7031  ],[0.7637   0.766775 0.763275 0.761275],[0.76505  0.768875 0.7664   0.762275],[0.76485  0.76925  0.766225 0.762225],[0.633075 0.6315   0.629275 0.6285  ],[0.539275 0.53835  0.539675 0.5384  ],[0.735425 0.7394   0.731    0.733525],[0.72985  0.734725 0.728675 0.7309  ]
SVC_lin-L1-1.0,[0.715425 0.716275 0.7108   0.7132  ],[0.704175 0.706775 0.702125 0.7031  ],[0.7632   0.7668   0.7628   0.760125],[0.7649   0.768725 0.76555  0.7617  ],[0.76505 0.7684  0.76585 0.76175],[0.633    0.631375 0.6298   0.628525],[0.539825 0.538725 0.539975 0.53805 ],[0.735575 0.739475 0.730975 0.733625],[0.72985  0.734625 0.72855  0.73085 ]
SVC_lin-L2-0.1,[0.7152  0.7157  0.71075 0.71335],[0.70425  0.706675 0.701875 0.703   ],[0.763525 0.767475 0.762625 0.7601  ],[0.765425 0.768925 0.765825 0.76165 ],[0.765475 0.768925 0.76605  0.761675],[0.634125 0.63195  0.630975 0.629425],[0.5403   0.5398   0.540775 0.539375],[0.7355   0.739425 0.73115  0.734325],[0.731525 0.7365   0.73     0.732125]
SVC_lin-L2-0.3,[0.71515  0.71565  0.710725 0.713225],[0.7041   0.706575 0.70205  0.703125],[0.763175 0.766575 0.7627   0.759225],[0.76475 0.7679  0.76565 0.76185],[0.7652   0.767825 0.76555  0.761825],[0.633775 0.63165  0.6306   0.6284  ],[0.5401   0.539375 0.5404   0.538875],[0.735625 0.739325 0.731475 0.73445 ],[0.731625 0.73665  0.729275 0.732425]
SVC_lin-L2-0.6,[0.71515  0.715775 0.710575 0.7133  ],[0.704175 0.7067   0.7021   0.703075],[0.763075 0.766025 0.7621   0.759625],[0.764375 0.767875 0.765375 0.7614  ],[0.764275 0.767925 0.7652   0.7616  ],[0.63355  0.631325 0.63055  0.62775 ],[0.5402   0.539275 0.539975 0.53875 ],[0.735475 0.739475 0.73165  0.734375],[0.731825 0.736575 0.729425 0.732575]
SVC_lin-L2-1.0,[0.71515 0.7158  0.71055 0.71325],[0.7042   0.70675  0.702075 0.703125],[0.76275  0.766025 0.761725 0.759325],[0.76415  0.76775  0.765175 0.7614  ],[0.764275 0.7676   0.765475 0.76115 ],[0.63345  0.631275 0.63045  0.627925],[0.540175 0.539325 0.5398   0.53855 ],[0.7354   0.73955  0.731575 0.73435 ],[0.731825 0.73665  0.7297   0.732375]
bagTrees,[0.702325 0.704275 0.701675 0.700725],[0.675825 0.676425 0.673375 0.67095 ],[nan nan nan nan],[nan nan nan nan],[nan nan nan nan],[nan nan nan nan],[nan nan nan nan],[0.72415  0.727425 0.7175   0.725825],[0.7195  0.72565 0.7166  0.72175]
dTree,[0.595025 0.59585  0.59785  0.593725],[0.570475 0.566225 0.5702   0.564825],[0.69605  0.691925 0.6951   0.6958  ],[0.694125 0.691775 0.693725 0.693825],[0.693375 0.693725 0.694175 0.69575 ],[0.6195   0.621125 0.61745  0.615225],[0.538925 0.537275 0.53855  0.537125],[0.6224   0.624925 0.6255   0.62575 ],[0.616525 0.61665  0.613075 0.61555 ]
eTree,[0.571425 0.571975 0.570125 0.567225],[0.546675 0.54855  0.54415  0.546425],[0.68385 0.688   0.68455 0.68345],[0.68735 0.68245 0.68465 0.68315],[0.690675 0.689525 0.690225 0.6913  ],[0.6148   0.616925 0.6124   0.610425],[0.538675 0.537125 0.538475 0.536575],[0.596525 0.59955  0.596875 0.597825],[0.58585  0.588025 0.585975 0.588875]
eTrees,[0.71005  0.713    0.70875  0.708425],[0.685725 0.687625 0.6891   0.687325],[0.752225 0.754    0.749525 0.75295 ],[0.75365 0.7528  0.74985 0.7534 ],[0.75135  0.752875 0.74995  0.753125],[0.624175 0.62645  0.622025 0.6219  ],[0.5393   0.5382   0.539325 0.537775],[0.72855  0.73085  0.721025 0.724125],[0.7279   0.73075  0.728325 0.72845 ]
gbTrees,[0.7173   0.71775  0.714225 0.7165  ],[0.6996   0.699075 0.6945   0.699125],[0.706775 0.7074   0.70585  0.71015 ],[0.70855  0.707175 0.705675 0.710875],[0.708725 0.70715  0.705375 0.71025 ],[0.570475 0.571325 0.5711   0.5714  ],[0.517775 0.517725 0.516325 0.51685 ],[0.735325 0.741525 0.7327   0.738   ],[0.732525 0.741725 0.734725 0.734825]
rForest,[0.708    0.70775  0.705325 0.7057  ],[0.68135  0.6836   0.67985  0.681475],[0.75015  0.749025 0.748925 0.750025],[0.751575 0.748675 0.746425 0.75015 ],[0.7513   0.747975 0.74745  0.7497  ],[0.624925 0.62665  0.6247   0.621975],[0.539025 0.5379   0.539625 0.5375  ],[0.7303   0.732775 0.7226   0.7279  ],[0.724375 0.729375 0.724875 0.727325]
